DATE,AUT,DEU,IND,JPN,SRB,CHE,VNM
2/16/2019,0,0,0,0,0,0,0
2/17/2019,0,0,0,0,0,0,0
2/18/2019,0,0,0,0,0,0,0
2/19/2019,0,0,0,0,0,0,0
2/20/2019,0,0,0,0,0,0,0
2/21/2019,0,0,0,0,0,0,0
2/22/2019,0,0,0,0,0,0,0
2/23/2019,0,0,0,0,0,0,0
2/24/2019,0,0,0,0,0,0,0
2/25/2019,0,0,0,0,0,0,0
2/26/2019,0,0,0,0,0,0,0
2/27/2019,0,0,0,0,0,0,0
2/28/2019,0,0,0,0,0,0,0
3/1/2019,0,0,0,0,0,0,0
3/2/2019,0,0,0,0,0,0,0
3/3/2019,0,0,0,0,0,0,0
3/4/2019,0,0,0,0,0,0,0
3/5/2019,0,0,0,0,0,0,0
3/6/2019,0,0,0,0,0,0,0
3/7/2019,0,0,0,0,0,0,0
3/8/2019,0,0,0,0,0,0,0
3/9/2019,0,0,0,0,0,0,0
3/10/2019,0,0,0,0,0,0,0
3/11/2019,0,0,0,0,0,0,0
3/12/2019,0,0,0,0,0,0,0
3/13/2019,0,0,0,0,0,0,0
3/14/2019,0,0,0,0,0,0,0
3/15/2019,0,0,0,0,0,0,0
3/16/2019,0,0,0,0,0,0,0
3/17/2019,0,0,0,0,0,0,0
3/18/2019,0,0,0,0,0,0,0
3/19/2019,0,0,0,0,0,0,0
3/20/2019,0,0,0,0,0,0,0
3/21/2019,0,0,0,0,0,0,0
3/22/2019,0,0,0,0,0,0,0
3/23/2019,0,0,0,0,0,0,0
3/24/2019,0,0,0,0,0,0,0
3/25/2019,0,0,0,0,0,0,0
3/26/2019,0,0,0,0,0,0,0
3/27/2019,0,0,0,0,0,0,0
3/28/2019,0,0,0,0,0,0,0
3/29/2019,0,0,0,0,0,0,0
3/30/2019,0,0,0,0,0,0,0
3/31/2019,0,0,0,0,0,0,0
4/1/2019,0,0,0,0,0,0,0
4/2/2019,0,0,0,0,0,0,0
4/3/2019,0,0,0,0,0,0,0
4/4/2019,0,0,0,0,0,0,0
4/5/2019,0,0,0,0,0,0,0
4/6/2019,0,0,0,0,0,0,0
4/7/2019,0,0,0,0,0,0,0
4/8/2019,0,0,0,0,0,0,0
4/9/2019,0,0,0,0,0,0,0
4/10/2019,0,0,0,0,0,0,0
4/11/2019,0,0,0,0,0,0,0
4/12/2019,0,0,0,0,0,0,0
4/13/2019,0,0,0,0,0,0,0
4/14/2019,0,0,0,0,0,0,0
4/15/2019,0,0,0,0,0,0,0
4/16/2019,0,0,0,0,0,0,0
4/17/2019,0,0,0,0,0,0,0
4/18/2019,0,0,0,0,0,0,0
4/19/2019,0,0,0,0,0,0,0
4/20/2019,0,0,0,0,0,0,0
4/21/2019,0,0,0,0,0,0,0
4/22/2019,0,0,0,0,0,0,0
4/23/2019,0,0,0,0,0,0,0
4/24/2019,0,0,0,0,0,0,0
4/25/2019,0,0,0,0,0,0,0
4/26/2019,0,0,0,0,0,0,0
4/27/2019,0,0,0,0,0,0,0
4/28/2019,0,0,0,0,0,0,0
4/29/2019,0,0,0,0,0,0,0
4/30/2019,0,0,0,0,0,0,0
5/1/2019,0,0,0,0,0,0,0
5/2/2019,0,0,0,0,0,0,0
5/3/2019,0,0,0,0,0,0,0
5/4/2019,0,0,0,0,0,0,0
5/5/2019,0,0,0,0,0,0,0
5/6/2019,0,0,0,0,0,0,0
5/7/2019,0,0,0,0,0,0,0
5/8/2019,0,0,0,0,0,0,0
5/9/2019,0,0,0,0,0,0,0
5/10/2019,0,0,0,0,0,0,0
5/11/2019,0,0,0,0,0,0,0
5/12/2019,0,0,0,0,0,0,0
5/13/2019,0,0,0,0,0,0,0
5/14/2019,0,0,0,0,0,0,0
5/15/2019,0,0,0,0,0,0,0
5/16/2019,0,0,0,0,0,0,0
5/17/2019,0,0,0,0,0,0,0
5/18/2019,0,0,0,0,0,0,0
5/19/2019,0,0,0,0,0,0,0
5/20/2019,0,0,0,0,0,0,0
5/21/2019,0,0,0,0,0,0,0
5/22/2019,0,0,0,0,0,0,0
5/23/2019,0,0,0,0,0,0,0
5/24/2019,0,0,0,0,0,0,0
5/25/2019,0,0,0,0,0,0,0
5/26/2019,0,0,0,0,0,0,0
5/27/2019,0,0,0,0,0,0,0
5/28/2019,0,0,0,0,0,0,0
5/29/2019,0,0,0,0,0,0,0
5/30/2019,0,0,0,0,0,0,0
5/31/2019,0,0,0,0,0,0,0
6/1/2019,0,0,0,0,0,0,0
6/2/2019,0,0,0,0,0,0,0
6/3/2019,0,0,0,0,0,0,0
6/4/2019,0,0,0,0,0,0,0
6/5/2019,0,0,0,0,0,0,0
6/6/2019,0,0,0,0,0,0,0
6/7/2019,0,0,0,0,0,0,0
6/8/2019,0,0,0,0,0,0,0
6/9/2019,0,0,0,0,0,0,0
6/10/2019,0,0,0,0,0,0,0
6/11/2019,0,0,0,0,0,0,0
6/12/2019,0,0,0,0,0,0,0
6/13/2019,0,0,0,0,0,0,0
6/14/2019,0,0,0,0,0,0,0
6/15/2019,0,0,0,0,0,0,0
6/16/2019,0,0,0,0,0,0,0
6/17/2019,0,0,0,0,0,0,0
6/18/2019,0,0,0,0,0,0,0
6/19/2019,0,0,0,0,0,0,0
6/20/2019,0,0,0,0,0,0,0
6/21/2019,0,0,0,0,0,0,0
6/22/2019,0,0,0,0,0,0,0
6/23/2019,0,0,0,0,0,0,0
6/24/2019,0,0,0,0,0,0,0
6/25/2019,0,0,0,0,0,0,0
6/26/2019,0,0,0,0,0,0,0
6/27/2019,0,0,0,0,0,0,0
6/28/2019,0,0,0,0,0,0,0
6/29/2019,0,0,0,0,0,0,0
6/30/2019,0,0,0,0,0,0,0
7/1/2019,0,0,0,0,0,0,0
1/1/2020,0,0,0,0,0,0,0
1/2/2020,0,0,0,0,0,0,0
1/3/2020,0,0,0,0,0,0,0
1/4/2020,0,0,0,0,0,0,0
1/5/2020,0,0,0,0,0,0,0
1/6/2020,0,0,0,0,0,0,0
1/7/2020,0,0,0,0,0,0,0
1/8/2020,0,0,0,0,0,0,0
1/9/2020,0,0,0,0,0,0,0
1/10/2020,0,0,0,0,0,0,0
1/11/2020,0,0,0,0,0,0,0
1/12/2020,0,0,0,0,0,0,0
1/13/2020,0,0,0,0,0,0,0
1/14/2020,0,0,0,0,0,0,0
1/15/2020,0,0,0,0,0,0,0
1/16/2020,0,0,0,0,0,0,0
1/17/2020,0,0,0,0,0,0,0
1/18/2020,0,0,0,0,0,0,0
1/19/2020,0,0,0,0,0,0,0
1/20/2020,0,0,0,0,0,0,0
1/21/2020,0,0,0,0,0,0,0
1/22/2020,0,0,0,2.78,0,0,0
1/23/2020,0,0,0,2.78,0,0,0
1/24/2020,0,0,0,2.78,0,0,0
1/25/2020,0,0,0,2.78,0,0,2.78
1/26/2020,5.56,0,0,2.78,0,0,2.78
1/27/2020,5.56,5.56,0,2.78,0,0,2.78
1/28/2020,5.56,5.56,0,2.78,0,0,2.78
1/29/2020,5.56,5.56,0,2.78,0,0,23.15
1/30/2020,5.56,5.56,10.19,2.78,0,0,25.93
1/31/2020,5.56,5.56,10.19,2.78,0,0,25.93
2/1/2020,13.89,5.56,10.19,8.33,0,0,28.7
2/2/2020,13.89,5.56,10.19,8.33,0,0,28.7
2/3/2020,19.44,5.56,10.19,8.33,0,0,28.7
2/4/2020,19.44,5.56,10.19,19.44,0,0,28.7
2/5/2020,19.44,5.56,10.19,19.44,0,0,28.7
2/6/2020,19.44,5.56,10.19,19.44,0,0,28.7
2/7/2020,19.44,5.56,10.19,19.44,0,0,28.7
2/8/2020,19.44,5.56,10.19,19.44,0,0,37.04
2/9/2020,19.44,5.56,10.19,19.44,0,0,37.04
2/10/2020,19.44,5.56,10.19,19.44,0,0,37.04
2/11/2020,19.44,5.56,10.19,19.44,0,0,37.04
2/12/2020,19.44,11.11,10.19,19.44,0,0,37.04
2/13/2020,19.44,11.11,10.19,19.44,0,0,45.37
2/14/2020,19.44,11.11,10.19,19.44,0,0,45.37
2/15/2020,19.44,11.11,10.19,19.44,0,0,47.22
2/16/2020,19.44,11.11,10.19,19.44,0,0,47.22
2/17/2020,19.44,11.11,10.19,19.44,0,0,47.22
2/18/2020,19.44,11.11,10.19,19.44,0,0,47.22
2/19/2020,19.44,11.11,10.19,19.44,0,0,47.22
2/20/2020,19.44,11.11,10.19,25,0,0,47.22
2/21/2020,19.44,11.11,10.19,25,0,0,47.22
2/22/2020,19.44,11.11,10.19,25,0,0,47.22
2/23/2020,19.44,11.11,10.19,25,0,0,47.22
2/24/2020,19.44,11.11,10.19,25,0,0,47.22
2/25/2020,19.44,11.11,10.19,34.26,0,8.33,47.22
2/26/2020,19.44,16.67,10.19,34.26,13.89,8.33,47.22
2/27/2020,19.44,16.67,10.19,34.26,13.89,13.89,47.22
2/28/2020,19.44,19.44,10.19,34.26,13.89,19.44,47.22
2/29/2020,19.44,25,10.19,34.26,13.89,19.44,47.22
3/1/2020,19.44,25,10.19,34.26,13.89,19.44,47.22
3/2/2020,19.44,25,10.19,43.52,13.89,19.44,47.22
3/3/2020,19.44,25,10.19,43.52,13.89,25,47.22
3/4/2020,19.44,25,10.19,43.52,13.89,25,47.22
3/5/2020,19.44,25,26.85,43.52,13.89,25,47.22
3/6/2020,19.44,25,26.85,43.52,13.89,25,47.22
3/7/2020,19.44,25,26.85,43.52,13.89,25,47.22
3/8/2020,19.44,25,26.85,43.52,13.89,25,47.22
3/9/2020,19.44,28.7,26.85,40.74,13.89,25,47.22
3/10/2020,19.44,32.87,26.85,40.74,13.89,25,47.22
3/11/2020,19.44,32.87,26.85,40.74,25,25,47.22
3/12/2020,19.44,32.87,26.85,40.74,25,25,47.22
3/13/2020,19.44,32.87,41.67,40.74,25,33.33,47.22
3/14/2020,19.44,32.87,41.67,40.74,25,33.33,47.22
3/15/2020,19.44,32.87,44.44,40.74,49.07,33.33,47.22
3/16/2020,30.56,42.13,44.44,40.74,66.67,44.44,47.22
3/17/2020,30.56,42.13,44.44,40.74,66.67,73.15,47.22
3/18/2020,36.11,52.31,44.44,40.74,81.48,73.15,47.22
3/19/2020,44.44,55.09,44.44,40.74,81.48,73.15,47.22
3/20/2020,47.22,57.87,44.44,40.74,81.48,73.15,47.22
3/21/2020,47.22,68.06,44.44,40.74,100,73.15,47.22
3/22/2020,47.22,76.85,100,40.74,100,73.15,50
3/23/2020,52.78,76.85,86.57,40.74,100,73.15,50
3/24/2020,71.3,76.85,86.57,40.74,100,73.15,50
3/25/2020,71.3,76.85,100,40.74,100,73.15,55.56
3/26/2020,71.3,76.85,100,40.74,100,73.15,61.11
3/27/2020,71.3,76.85,100,40.74,100,73.15,66.67
3/28/2020,71.3,76.85,100,40.74,100,73.15,83.33
3/29/2020,71.3,76.85,100,40.74,100,73.15,83.33
3/30/2020,71.3,76.85,100,40.74,100,73.15,83.33
3/31/2020,71.3,76.85,100,40.74,100,73.15,83.33
4/1/2020,71.3,76.85,100,40.74,100,73.15,96.3
4/2/2020,73.15,76.85,100,40.74,100,73.15,96.3
4/3/2020,73.15,76.85,100,43.52,100,73.15,96.3
4/4/2020,73.15,76.85,100,43.52,100,73.15,96.3
4/5/2020,73.15,76.85,100,43.52,100,73.15,96.3
4/6/2020,73.15,76.85,100,43.52,100,73.15,96.3
4/7/2020,73.15,76.85,100,45.37,100,73.15,96.3
4/8/2020,73.15,76.85,100,45.37,100,73.15,96.3
4/9/2020,73.15,76.85,100,45.37,100,73.15,96.3
4/10/2020,73.15,76.85,100,45.37,100,73.15,96.3
4/11/2020,73.15,76.85,100,45.37,100,73.15,96.3
4/12/2020,73.15,76.85,100,45.37,100,73.15,96.3
4/13/2020,73.15,76.85,100,45.37,100,73.15,96.3
4/14/2020,73.15,76.85,100,45.37,100,73.15,96.3
4/15/2020,69.44,76.85,100,45.37,100,73.15,88.43
4/16/2020,69.44,76.85,100,47.22,100,73.15,88.43
4/17/2020,69.44,76.85,100,47.22,100,73.15,88.43
4/18/2020,69.44,76.85,100,47.22,100,73.15,88.43
4/19/2020,69.44,76.85,100,47.22,100,73.15,88.43
4/20/2020,69.44,76.85,96.3,47.22,100,73.15,88.43
4/21/2020,69.44,76.85,96.3,47.22,96.3,73.15,88.43
4/22/2020,69.44,76.85,96.3,47.22,96.3,73.15,79.63
4/23/2020,69.44,76.85,96.3,47.22,96.3,73.15,79.63
4/24/2020,69.44,76.85,96.3,47.22,96.3,73.15,79.63
4/25/2020,69.44,76.85,96.3,47.22,96.3,73.15,74.07
4/26/2020,69.44,76.85,96.3,47.22,96.3,73.15,76.85
4/27/2020,69.44,76.85,96.3,47.22,93.52,69.44,76.85
4/28/2020,69.44,76.85,96.3,47.22,93.52,69.44,76.85
4/29/2020,69.44,76.85,96.3,47.22,93.52,69.44,76.85
4/30/2020,69.44,76.85,96.3,47.22,96.3,69.44,76.85
5/1/2020,69.44,76.85,96.3,47.22,96.3,69.44,76.85
5/2/2020,69.44,76.85,96.3,47.22,96.3,69.44,76.85
5/3/2020,69.44,75.46,96.3,47.22,96.3,69.44,76.85
5/4/2020,69.44,71.76,81.94,47.22,96.3,69.44,73.15
5/5/2020,69.44,71.76,81.94,47.22,93.52,69.44,73.15
5/6/2020,69.44,66.2,81.94,47.22,93.52,69.44,73.15
5/7/2020,69.44,64.35,81.94,47.22,86.11,69.44,73.15
5/8/2020,69.44,64.35,81.94,47.22,86.11,69.44,73.15
5/9/2020,69.44,64.35,81.94,47.22,86.11,69.44,73.15
5/10/2020,69.44,64.35,81.94,47.22,86.11,69.44,73.15
5/11/2020,69.44,64.35,81.94,47.22,86.11,58.33,73.15
5/12/2020,69.44,64.35,81.94,47.22,86.11,58.33,73.15
5/13/2020,69.44,64.35,81.94,47.22,86.11,58.33,73.15
5/14/2020,69.44,64.35,81.94,40.74,86.11,58.33,73.15
5/15/2020,65.74,64.35,81.94,40.74,86.11,58.33,69.44
5/16/2020,64.35,61.57,81.94,40.74,86.11,58.33,69.44
5/17/2020,64.35,61.57,81.94,40.74,51.85,58.33,69.44
5/18/2020,67.13,61.57,81.94,40.74,51.85,58.33,69.44
5/19/2020,67.13,59.72,81.94,40.74,51.85,58.33,69.44
5/20/2020,67.13,59.72,81.94,40.74,51.85,58.33,69.44
5/21/2020,67.13,59.72,81.94,40.74,51.85,58.33,69.44
5/22/2020,67.13,59.72,81.94,40.74,49.07,58.33,69.44
5/23/2020,67.13,59.72,81.94,40.74,49.07,58.33,69.44
5/24/2020,67.13,59.72,81.94,40.74,49.07,58.33,69.44
5/25/2020,65.28,59.72,81.94,34.26,49.07,58.33,69.44
5/26/2020,65.28,59.72,81.94,34.26,49.07,58.33,69.44
5/27/2020,65.28,59.72,81.94,34.26,49.07,58.33,69.44
5/28/2020,65.28,59.72,81.94,34.26,49.07,58.33,69.44
5/29/2020,63.43,59.72,81.94,34.26,49.07,58.33,69.44
5/30/2020,63.43,59.72,81.94,34.26,49.07,55.56,69.44
5/31/2020,63.43,59.72,81.94,34.26,49.07,55.56,69.44
6/1/2020,62.04,59.72,87.5,28.7,43.52,55.56,69.44
6/2/2020,62.04,59.72,87.5,28.7,43.52,55.56,69.44
6/3/2020,62.04,59.72,87.5,28.7,43.52,55.56,69.44
6/4/2020,62.04,59.72,87.5,28.7,43.52,55.56,69.44
6/5/2020,62.04,59.72,87.5,28.7,43.52,55.56,69.44
6/6/2020,62.04,59.72,87.5,28.7,27.78,46.3,69.44
6/7/2020,62.04,59.72,87.5,28.7,27.78,46.3,69.44
6/8/2020,62.04,59.72,87.5,28.7,27.78,46.3,69.44
6/9/2020,60.19,59.72,87.5,28.7,27.78,46.3,69.44
6/10/2020,60.19,59.72,87.5,28.7,27.78,46.3,69.44
6/11/2020,60.19,59.72,87.5,28.7,27.78,46.3,69.44
6/12/2020,50.46,59.72,87.5,28.7,27.78,46.3,69.44
6/13/2020,50.46,59.72,87.5,28.7,27.78,46.3,69.44
6/14/2020,50.46,59.72,87.5,28.7,27.78,46.3,69.44
6/15/2020,50.46,59.72,87.5,28.7,27.78,46.3,69.44
6/16/2020,50.46,59.72,87.5,28.7,27.78,46.3,58.33
6/17/2020,50.46,59.72,87.5,28.7,27.78,46.3,58.33
6/18/2020,50.46,63.43,87.5,28.7,27.78,46.3,58.33
6/19/2020,50.46,63.43,87.5,28.7,27.78,46.3,58.33
6/20/2020,50.46,63.43,87.5,28.7,27.78,46.3,58.33
6/21/2020,50.46,63.43,87.5,25.93,27.78,46.3,58.33
6/22/2020,50.46,63.43,87.5,25.93,27.78,35.19,58.33
6/23/2020,52.31,63.43,87.5,25.93,27.78,35.19,58.33
6/24/2020,52.31,63.43,87.5,25.93,27.78,35.19,58.33
6/25/2020,52.31,63.43,87.5,25.93,27.78,35.19,55.56
6/26/2020,52.31,63.43,87.5,25.93,27.78,35.19,55.56
6/27/2020,52.31,63.43,87.5,25.93,27.78,35.19,55.56
6/28/2020,52.31,63.43,87.5,25.93,27.78,35.19,55.56
6/29/2020,52.31,63.43,87.5,25.93,25.93,35.19,55.56
6/30/2020,52.31,63.43,87.5,25.93,25.93,35.19,55.56
7/1/2020,68.98,63.43,87.5,25.93,38.89,35.19,55.56
